# E  sum  T1  T2  T3 ...
 20.2226   0.0024   0.0002   0.0002   0.0003   0.0003   0.0002   0.0002   0.0003   0.0003   0.0002   0.0002
 20.2476   0.0024   0.0002   0.0002   0.0003   0.0003   0.0002   0.0002   0.0003   0.0003   0.0002   0.0002
 20.2726   0.0024   0.0002   0.0002   0.0003   0.0003   0.0002   0.0002   0.0003   0.0003   0.0002   0.0002
 20.2976   0.0024   0.0002   0.0002   0.0003   0.0003   0.0002   0.0002   0.0003   0.0003   0.0002   0.0002
 20.3227   0.0024   0.0002   0.0002   0.0003   0.0003   0.0002   0.0002   0.0003   0.0003   0.0002   0.0002
 20.3477   0.0024   0.0002   0.0002   0.0003   0.0003   0.0002   0.0002   0.0003   0.0003   0.0002   0.0002
 20.3727   0.0024   0.0002   0.0002   0.0003   0.0003   0.0002   0.0002   0.0003   0.0003   0.0002   0.0002
 20.3977   0.0024   0.0002   0.0002   0.0003   0.0003   0.0002   0.0002   0.0003   0.0003   0.0002   0.0002
 20.4227   0.0024   0.0002   0.0002   0.0003   0.0003   0.0002   0.0002   0.0003   0.0003   0.0002   0.0002
 20.4477   0.0024   0.0002   0.0002   0.0003   0.0003   0.0002   0.0002   0.0003   0.0003   0.0002   0.0002
 20.4727   0.0024   0.0002   0.0002   0.0003   0.0003   0.0002   0.0002   0.0003   0.0003   0.0002   0.0002
 20.4977   0.0024   0.0002   0.0002   0.0003   0.0003   0.0002   0.0002   0.0003   0.0003   0.0002   0.0002
 20.5228   0.0024   0.0002   0.0002   0.0003   0.0003   0.0002   0.0002   0.0003   0.0003   0.0002   0.0002
 20.5478   0.0024   0.0002   0.0002   0.0003   0.0003   0.0002   0.0002   0.0003   0.0003   0.0002   0.0002
 20.5728   0.0024   0.0002   0.0002   0.0003   0.0003   0.0001   0.0001   0.0003   0.0003   0.0002   0.0002
 20.5978   0.0024   0.0002   0.0002   0.0003   0.0003   0.0001   0.0001   0.0003   0.0003   0.0002   0.0002
 20.6228   0.0024   0.0002   0.0002   0.0003   0.0003   0.0001   0.0001   0.0003   0.0003   0.0002   0.0002
 20.6478   0.0023   0.0002   0.0002   0.0003   0.0003   0.0001   0.0001   0.0003   0.0003   0.0002   0.0002
 20.6728   0.0023   0.0002   0.0002   0.0003   0.0003   0.0001   0.0001   0.0003   0.0003   0.0002   0.0002
 20.6978   0.0023   0.0002   0.0002   0.0003   0.0003   0.0001   0.0001   0.0003   0.0003   0.0002   0.0002
 20.7229   0.0023   0.0002   0.0002   0.0003   0.0003   0.0001   0.0001   0.0003   0.0003   0.0002   0.0002
 20.7479   0.0023   0.0002   0.0002   0.0003   0.0003   0.0001   0.0001   0.0003   0.0003   0.0002   0.0002
 20.7729   0.0023   0.0002   0.0002   0.0003   0.0003   0.0001   0.0001   0.0003   0.0003   0.0002   0.0002
 20.7979   0.0023   0.0002   0.0002   0.0003   0.0003   0.0001   0.0001   0.0003   0.0003   0.0002   0.0002
 20.8229   0.0023   0.0002   0.0002   0.0003   0.0003   0.0001   0.0001   0.0003   0.0003   0.0002   0.0002
 20.8479   0.0023   0.0002   0.0002   0.0003   0.0003   0.0001   0.0001   0.0003   0.0003   0.0002   0.0002
 20.8729   0.0023   0.0002   0.0002   0.0003   0.0003   0.0001   0.0001   0.0003   0.0003   0.0002   0.0002
 20.8979   0.0023   0.0002   0.0002   0.0003   0.0003   0.0001   0.0001   0.0003   0.0003   0.0002   0.0002
 20.9230   0.0023   0.0002   0.0002   0.0003   0.0003   0.0001   0.0001   0.0003   0.0003   0.0002   0.0002
 20.9480   0.0023   0.0002   0.0002   0.0003   0.0003   0.0001   0.0001   0.0003   0.0003   0.0002   0.0002
 20.9730   0.0023   0.0002   0.0002   0.0003   0.0003   0.0001   0.0001   0.0003   0.0003   0.0002   0.0002
 20.9980   0.0023   0.0002   0.0002   0.0003   0.0003   0.0001   0.0001   0.0003   0.0003   0.0002   0.0002
 21.0230   0.0023   0.0002   0.0002   0.0003   0.0003   0.0001   0.0001   0.0003   0.0003   0.0002   0.0002
 21.0480   0.0023   0.0002   0.0002   0.0003   0.0003   0.0001   0.0001   0.0003   0.0003   0.0002   0.0002
 21.0730   0.0023   0.0002   0.0002   0.0003   0.0003   0.0001   0.0001   0.0003   0.0003   0.0002   0.0002
 21.0980   0.0023   0.0002   0.0002   0.0003   0.0003   0.0001   0.0001   0.0003   0.0003   0.0002   0.0002
 21.1231   0.0023   0.0002   0.0002   0.0003   0.0003   0.0001   0.0001   0.0003   0.0003   0.0002   0.0002
 21.1481   0.0023   0.0002   0.0002   0.0003   0.0003   0.0001   0.0001   0.0003   0.0003   0.0002   0.0002
 21.1731   0.0023   0.0002   0.0002   0.0003   0.0003   0.0001   0.0001   0.0003   0.0003   0.0002   0.0002
 21.1981   0.0023   0.0002   0.0002   0.0003   0.0003   0.0001   0.0001   0.0003   0.0003   0.0002   0.0002
 21.2231   0.0022   0.0002   0.0002   0.0003   0.0003   0.0001   0.0001   0.0003   0.0003   0.0002   0.0002
 21.2481   0.0022   0.0002   0.0002   0.0003   0.0003   0.0001   0.0001   0.0003   0.0003   0.0002   0.0002
 21.2731   0.0022   0.0002   0.0002   0.0003   0.0003   0.0001   0.0001   0.0003   0.0003   0.0002   0.0002
 21.2981   0.0022   0.0002   0.0002   0.0003   0.0003   0.0001   0.0001   0.0003   0.0003   0.0002   0.0002
 21.3232   0.0022   0.0002   0.0002   0.0003   0.0003   0.0001   0.0001   0.0003   0.0003   0.0002   0.0002
 21.3482   0.0022   0.0002   0.0002   0.0003   0.0003   0.0001   0.0001   0.0003   0.0003   0.0002   0.0002
 21.3732   0.0022   0.0002   0.0002   0.0003   0.0003   0.0001   0.0001   0.0003   0.0003   0.0002   0.0002
 21.3982   0.0022   0.0002   0.0002   0.0003   0.0003   0.0001   0.0001   0.0003   0.0003   0.0002   0.0002
 21.4232   0.0022   0.0002   0.0002   0.0003   0.0003   0.0001   0.0001   0.0003   0.0003   0.0002   0.0002
 21.4482   0.0022   0.0002   0.0002   0.0003   0.0003   0.0001   0.0001   0.0003   0.0003   0.0002   0.0002
 21.4732   0.0022   0.0002   0.0002   0.0003   0.0003   0.0001   0.0001   0.0003   0.0003   0.0002   0.0002
 21.4982   0.0022   0.0002   0.0002   0.0003   0.0003   0.0001   0.0001   0.0003   0.0003   0.0002   0.0002
 21.5233   0.0022   0.0002   0.0002   0.0003   0.0003   0.0001   0.0001   0.0003   0.0003   0.0002   0.0002
 21.5483   0.0022   0.0002   0.0002   0.0003   0.0003   0.0001   0.0001   0.0003   0.0003   0.0002   0.0002
 21.5733   0.0022   0.0002   0.0002   0.0003   0.0003   0.0001   0.0001   0.0003   0.0003   0.0002   0.0002
 21.5983   0.0022   0.0002   0.0002   0.0003   0.0003   0.0001   0.0001   0.0003   0.0003   0.0002   0.0002
 21.6233   0.0022   0.0002   0.0002   0.0003   0.0003   0.0001   0.0001   0.0003   0.0003   0.0002   0.0002
 21.6483   0.0022   0.0002   0.0002   0.0003   0.0003   0.0001   0.0001   0.0003   0.0003   0.0002   0.0002
 21.6733   0.0022   0.0002   0.0002   0.0003   0.0003   0.0001   0.0001   0.0003   0.0003   0.0002   0.0002
 21.6983   0.0022   0.0002   0.0002   0.0003   0.0003   0.0001   0.0001   0.0003   0.0003   0.0002   0.0002
 21.7234   0.0022   0.0002   0.0002   0.0003   0.0003   0.0001   0.0001   0.0003   0.0003   0.0002   0.0002
 21.7484   0.0022   0.0002   0.0002   0.0003   0.0003   0.0001   0.0001   0.0003   0.0003   0.0002   0.0002
 21.7734   0.0022   0.0002   0.0002   0.0003   0.0003   0.0001   0.0001   0.0003   0.0003   0.0002   0.0002
 21.7984   0.0022   0.0002   0.0002   0.0003   0.0003   0.0001   0.0001   0.0003   0.0003   0.0002   0.0002
 21.8234   0.0021   0.0002   0.0002   0.0003   0.0003   0.0001   0.0001   0.0003   0.0003   0.0002   0.0002
 21.8484   0.0021   0.0002   0.0002   0.0003   0.0003   0.0001   0.0001   0.0003   0.0003   0.0002   0.0002
 21.8734   0.0021   0.0002   0.0002   0.0003   0.0003   0.0001   0.0001   0.0003   0.0003   0.0002   0.0002
 21.8984   0.0021   0.0002   0.0002   0.0003   0.0003   0.0001   0.0001   0.0003   0.0003   0.0002   0.0002
 21.9235   0.0021   0.0002   0.0002   0.0003   0.0003   0.0001   0.0001   0.0003   0.0003   0.0002   0.0002
 21.9485   0.0021   0.0002   0.0002   0.0003   0.0003   0.0001   0.0001   0.0003   0.0003   0.0002   0.0002
 21.9735   0.0021   0.0002   0.0002   0.0003   0.0003   0.0001   0.0001   0.0003   0.0003   0.0002   0.0002
 21.9985   0.0021   0.0002   0.0002   0.0003   0.0003   0.0001   0.0001   0.0003   0.0003   0.0002   0.0002
 22.0235   0.0021   0.0002   0.0002   0.0003   0.0003   0.0001   0.0001   0.0003   0.0003   0.0002   0.0002
 22.0485   0.0021   0.0002   0.0002   0.0003   0.0003   0.0001   0.0001   0.0003   0.0003   0.0002   0.0002
 22.0735   0.0021   0.0002   0.0002   0.0003   0.0003   0.0001   0.0001   0.0003   0.0003   0.0002   0.0002
 22.0985   0.0021   0.0002   0.0002   0.0003   0.0003   0.0001   0.0001   0.0003   0.0003   0.0002   0.0002
 22.1236   0.0021   0.0002   0.0002   0.0003   0.0003   0.0001   0.0001   0.0003   0.0003   0.0002   0.0002
 22.1486   0.0021   0.0002   0.0002   0.0003   0.0003   0.0001   0.0001   0.0003   0.0003   0.0002   0.0002
 22.1736   0.0021   0.0002   0.0002   0.0003   0.0003   0.0001   0.0001   0.0003   0.0003   0.0002   0.0002
 22.1986   0.0021   0.0002   0.0002   0.0003   0.0003   0.0001   0.0001   0.0003   0.0003   0.0002   0.0002
 22.2236   0.0021   0.0002   0.0002   0.0003   0.0003   0.0001   0.0001   0.0003   0.0003   0.0002   0.0002
 22.2486   0.0021   0.0002   0.0002   0.0003   0.0003   0.0001   0.0001   0.0003   0.0003   0.0002   0.0002
 22.2736   0.0021   0.0002   0.0002   0.0003   0.0003   0.0001   0.0001   0.0003   0.0003   0.0002   0.0002
 22.2986   0.0021   0.0002   0.0002   0.0003   0.0003   0.0001   0.0001   0.0003   0.0003   0.0002   0.0002
 22.3237   0.0021   0.0002   0.0002   0.0003   0.0003   0.0001   0.0001   0.0003   0.0003   0.0002   0.0002
 22.3487   0.0021   0.0002   0.0002   0.0003   0.0003   0.0001   0.0001   0.0003   0.0003   0.0002   0.0002
 22.3737   0.0021   0.0002   0.0002   0.0003   0.0003   0.0001   0.0001   0.0003   0.0003   0.0002   0.0002
 22.3987   0.0021   0.0002   0.0002   0.0003   0.0003   0.0001   0.0001   0.0003   0.0003   0.0002   0.0002
 22.4237   0.0021   0.0002   0.0002   0.0003   0.0003   0.0001   0.0001   0.0003   0.0003   0.0002   0.0002
 22.4487   0.0021   0.0002   0.0002   0.0003   0.0003   0.0001   0.0001   0.0003   0.0003   0.0002   0.0002
 22.4737   0.0020   0.0002   0.0002   0.0003   0.0003   0.0001   0.0001   0.0003   0.0003   0.0002   0.0002
 22.4987   0.0020   0.0002   0.0002   0.0003   0.0003   0.0001   0.0001   0.0003   0.0003   0.0002   0.0002
 22.5238   0.0020   0.0002   0.0002   0.0003   0.0003   0.0001   0.0001   0.0003   0.0003   0.0002   0.0002
 22.5488   0.0020   0.0002   0.0002   0.0003   0.0003   0.0001   0.0001   0.0003   0.0003   0.0002   0.0002
 22.5738   0.0020   0.0002   0.0002   0.0003   0.0003   0.0001   0.0001   0.0003   0.0003   0.0002   0.0002
 22.5988   0.0020   0.0002   0.0002   0.0003   0.0003   0.0001   0.0001   0.0003   0.0003   0.0002   0.0002
 22.6238   0.0020   0.0002   0.0002   0.0003   0.0003   0.0001   0.0001   0.0003   0.0003   0.0002   0.0002
 22.6488   0.0020   0.0002   0.0002   0.0003   0.0002   0.0001   0.0001   0.0002   0.0003   0.0002   0.0002
 22.6738   0.0020   0.0002   0.0002   0.0003   0.0002   0.0001   0.0001   0.0002   0.0003   0.0002   0.0002
 22.6988   0.0020   0.0002   0.0002   0.0003   0.0002   0.0001   0.0001   0.0002   0.0003   0.0002   0.0002
 22.7239   0.0020   0.0002   0.0002   0.0003   0.0002   0.0001   0.0001   0.0002   0.0003   0.0002   0.0002
 22.7489   0.0020   0.0002   0.0002   0.0003   0.0002   0.0001   0.0001   0.0002   0.0003   0.0002   0.0002
 22.7739   0.0020   0.0002   0.0002   0.0003   0.0002   0.0001   0.0001   0.0002   0.0003   0.0002   0.0002
 22.7989   0.0020   0.0002   0.0002   0.0003   0.0002   0.0001   0.0001   0.0002   0.0003   0.0002   0.0002
 22.8239   0.0020   0.0002   0.0002   0.0003   0.0002   0.0001   0.0001   0.0002   0.0003   0.0002   0.0002
 22.8489   0.0020   0.0002   0.0002   0.0002   0.0002   0.0001   0.0001   0.0002   0.0002   0.0002   0.0002
 22.8739   0.0020   0.0002   0.0002   0.0002   0.0002   0.0001   0.0001   0.0002   0.0002   0.0002   0.0002
 22.8989   0.0020   0.0002   0.0002   0.0002   0.0002   0.0001   0.0001   0.0002   0.0002   0.0002   0.0002
 22.9240   0.0020   0.0002   0.0002   0.0002   0.0002   0.0001   0.0001   0.0002   0.0002   0.0002   0.0002
 22.9490   0.0020   0.0002   0.0002   0.0002   0.0002   0.0001   0.0001   0.0002   0.0002   0.0002   0.0002
 22.9740   0.0020   0.0002   0.0002   0.0002   0.0002   0.0001   0.0001   0.0002   0.0002   0.0002   0.0002
 22.9990   0.0020   0.0002   0.0002   0.0002   0.0002   0.0001   0.0001   0.0002   0.0002   0.0002   0.0002
 23.0240   0.0020   0.0002   0.0002   0.0002   0.0002   0.0001   0.0001   0.0002   0.0002   0.0002   0.0002
 23.0490   0.0020   0.0002   0.0002   0.0002   0.0002   0.0001   0.0001   0.0002   0.0002   0.0002   0.0002
 23.0740   0.0020   0.0002   0.0002   0.0002   0.0002   0.0001   0.0001   0.0002   0.0002   0.0002   0.0002
 23.0990   0.0020   0.0002   0.0002   0.0002   0.0002   0.0001   0.0001   0.0002   0.0002   0.0002   0.0002
 23.1241   0.0020   0.0002   0.0002   0.0002   0.0002   0.0001   0.0001   0.0002   0.0002   0.0002   0.0002
 23.1491   0.0020   0.0002   0.0002   0.0002   0.0002   0.0001   0.0001   0.0002   0.0002   0.0002   0.0002
 23.1741   0.0019   0.0002   0.0002   0.0002   0.0002   0.0001   0.0001   0.0002   0.0002   0.0002   0.0002
 23.1991   0.0019   0.0002   0.0002   0.0002   0.0002   0.0001   0.0001   0.0002   0.0002   0.0002   0.0002
 23.2241   0.0019   0.0002   0.0002   0.0002   0.0002   0.0001   0.0001   0.0002   0.0002   0.0002   0.0002
 23.2491   0.0019   0.0002   0.0002   0.0002   0.0002   0.0001   0.0001   0.0002   0.0002   0.0002   0.0002
 23.2741   0.0019   0.0002   0.0002   0.0002   0.0002   0.0001   0.0001   0.0002   0.0002   0.0002   0.0002
 23.2991   0.0019   0.0002   0.0002   0.0002   0.0002   0.0001   0.0001   0.0002   0.0002   0.0002   0.0002
 23.3242   0.0019   0.0002   0.0002   0.0002   0.0002   0.0001   0.0001   0.0002   0.0002   0.0002   0.0002
 23.3492   0.0019   0.0002   0.0002   0.0002   0.0002   0.0001   0.0001   0.0002   0.0002   0.0002   0.0002
 23.3742   0.0019   0.0002   0.0002   0.0002   0.0002   0.0001   0.0001   0.0002   0.0002   0.0002   0.0002
 23.3992   0.0019   0.0002   0.0002   0.0002   0.0002   0.0001   0.0001   0.0002   0.0002   0.0002   0.0002
 23.4242   0.0019   0.0002   0.0002   0.0002   0.0002   0.0001   0.0001   0.0002   0.0002   0.0002   0.0002
 23.4492   0.0019   0.0002   0.0002   0.0002   0.0002   0.0001   0.0001   0.0002   0.0002   0.0002   0.0002
 23.4742   0.0019   0.0002   0.0002   0.0002   0.0002   0.0001   0.0001   0.0002   0.0002   0.0002   0.0002
 23.4992   0.0019   0.0002   0.0002   0.0002   0.0002   0.0001   0.0001   0.0002   0.0002   0.0002   0.0002
 23.5243   0.0019   0.0002   0.0002   0.0002   0.0002   0.0001   0.0001   0.0002   0.0002   0.0002   0.0002
 23.5493   0.0019   0.0002   0.0002   0.0002   0.0002   0.0001   0.0001   0.0002   0.0002   0.0002   0.0002
 23.5743   0.0019   0.0002   0.0002   0.0002   0.0002   0.0001   0.0001   0.0002   0.0002   0.0002   0.0002
 23.5993   0.0019   0.0002   0.0002   0.0002   0.0002   0.0001   0.0001   0.0002   0.0002   0.0002   0.0002
 23.6243   0.0019   0.0002   0.0002   0.0002   0.0002   0.0001   0.0001   0.0002   0.0002   0.0002   0.0002
 23.6493   0.0019   0.0002   0.0002   0.0002   0.0002   0.0001   0.0001   0.0002   0.0002   0.0002   0.0002
 23.6743   0.0019   0.0002   0.0002   0.0002   0.0002   0.0001   0.0001   0.0002   0.0002   0.0002   0.0002
 23.6993   0.0019   0.0002   0.0002   0.0002   0.0002   0.0001   0.0001   0.0002   0.0002   0.0002   0.0002
 23.7244   0.0019   0.0002   0.0002   0.0002   0.0002   0.0001   0.0001   0.0002   0.0002   0.0002   0.0002
 23.7494   0.0019   0.0002   0.0002   0.0002   0.0002   0.0001   0.0001   0.0002   0.0002   0.0002   0.0002
 23.7744   0.0019   0.0002   0.0002   0.0002   0.0002   0.0001   0.0001   0.0002   0.0002   0.0002   0.0002
 23.7994   0.0019   0.0002   0.0002   0.0002   0.0002   0.0001   0.0001   0.0002   0.0002   0.0002   0.0002
 23.8244   0.0019   0.0002   0.0002   0.0002   0.0002   0.0001   0.0001   0.0002   0.0002   0.0002   0.0002
 23.8494   0.0019   0.0002   0.0002   0.0002   0.0002   0.0001   0.0001   0.0002   0.0002   0.0002   0.0002
 23.8744   0.0019   0.0002   0.0002   0.0002   0.0002   0.0001   0.0001   0.0002   0.0002   0.0002   0.0002
 23.8994   0.0019   0.0002   0.0002   0.0002   0.0002   0.0001   0.0001   0.0002   0.0002   0.0002   0.0002
 23.9245   0.0019   0.0002   0.0002   0.0002   0.0002   0.0001   0.0001   0.0002   0.0002   0.0002   0.0002
 23.9495   0.0018   0.0002   0.0002   0.0002   0.0002   0.0001   0.0001   0.0002   0.0002   0.0002   0.0002
 23.9745   0.0018   0.0002   0.0002   0.0002   0.0002   0.0001   0.0001   0.0002   0.0002   0.0002   0.0002
 23.9995   0.0018   0.0002   0.0002   0.0002   0.0002   0.0001   0.0001   0.0002   0.0002   0.0002   0.0002
 24.0245   0.0018   0.0002   0.0002   0.0002   0.0002   0.0001   0.0001   0.0002   0.0002   0.0002   0.0002
 24.0495   0.0018   0.0002   0.0002   0.0002   0.0002   0.0001   0.0001   0.0002   0.0002   0.0002   0.0002
 24.0745   0.0018   0.0002   0.0002   0.0002   0.0002   0.0001   0.0001   0.0002   0.0002   0.0002   0.0002
 24.0995   0.0018   0.0002   0.0002   0.0002   0.0002   0.0001   0.0001   0.0002   0.0002   0.0002   0.0002
 24.1246   0.0018   0.0002   0.0002   0.0002   0.0002   0.0001   0.0001   0.0002   0.0002   0.0002   0.0002
 24.1496   0.0018   0.0002   0.0002   0.0002   0.0002   0.0001   0.0001   0.0002   0.0002   0.0002   0.0002
 24.1746   0.0018   0.0002   0.0002   0.0002   0.0002   0.0001   0.0001   0.0002   0.0002   0.0002   0.0002
 24.1996   0.0018   0.0002   0.0002   0.0002   0.0002   0.0001   0.0001   0.0002   0.0002   0.0002   0.0002
 24.2246   0.0018   0.0002   0.0002   0.0002   0.0002   0.0001   0.0001   0.0002   0.0002   0.0002   0.0002
 24.2496   0.0018   0.0002   0.0002   0.0002   0.0002   0.0001   0.0001   0.0002   0.0002   0.0002   0.0002
 24.2746   0.0018   0.0002   0.0002   0.0002   0.0002   0.0001   0.0001   0.0002   0.0002   0.0002   0.0002
 24.2996   0.0018   0.0002   0.0002   0.0002   0.0002   0.0001   0.0001   0.0002   0.0002   0.0002   0.0002
 24.3247   0.0018   0.0002   0.0002   0.0002   0.0002   0.0001   0.0001   0.0002   0.0002   0.0002   0.0002
 24.3497   0.0018   0.0002   0.0002   0.0002   0.0002   0.0001   0.0001   0.0002   0.0002   0.0002   0.0002
 24.3747   0.0018   0.0002   0.0002   0.0002   0.0002   0.0001   0.0001   0.0002   0.0002   0.0002   0.0002
 24.3997   0.0018   0.0002   0.0002   0.0002   0.0002   0.0001   0.0001   0.0002   0.0002   0.0002   0.0002
 24.4247   0.0018   0.0002   0.0002   0.0002   0.0002   0.0001   0.0001   0.0002   0.0002   0.0002   0.0002
 24.4497   0.0018   0.0002   0.0002   0.0002   0.0002   0.0001   0.0001   0.0002   0.0002   0.0002   0.0002
 24.4747   0.0018   0.0002   0.0002   0.0002   0.0002   0.0001   0.0001   0.0002   0.0002   0.0002   0.0002
 24.4997   0.0018   0.0002   0.0002   0.0002   0.0002   0.0001   0.0001   0.0002   0.0002   0.0002   0.0002
 24.5248   0.0018   0.0002   0.0002   0.0002   0.0002   0.0001   0.0001   0.0002   0.0002   0.0002   0.0002
 24.5498   0.0018   0.0002   0.0002   0.0002   0.0002   0.0001   0.0001   0.0002   0.0002   0.0002   0.0002
 24.5748   0.0018   0.0002   0.0002   0.0002   0.0002   0.0001   0.0001   0.0002   0.0002   0.0002   0.0002
 24.5998   0.0018   0.0002   0.0002   0.0002   0.0002   0.0001   0.0001   0.0002   0.0002   0.0002   0.0002
 24.6248   0.0018   0.0002   0.0002   0.0002   0.0002   0.0001   0.0001   0.0002   0.0002   0.0002   0.0002
 24.6498   0.0018   0.0002   0.0002   0.0002   0.0002   0.0001   0.0001   0.0002   0.0002   0.0002   0.0002
 24.6748   0.0018   0.0002   0.0002   0.0002   0.0002   0.0001   0.0001   0.0002   0.0002   0.0002   0.0002
 24.6998   0.0018   0.0002   0.0002   0.0002   0.0002   0.0001   0.0001   0.0002   0.0002   0.0002   0.0002
 24.7249   0.0018   0.0002   0.0002   0.0002   0.0002   0.0001   0.0001   0.0002   0.0002   0.0002   0.0002
 24.7499   0.0018   0.0002   0.0002   0.0002   0.0002   0.0001   0.0001   0.0002   0.0002   0.0002   0.0002
 24.7749   0.0017   0.0002   0.0002   0.0002   0.0002   0.0001   0.0001   0.0002   0.0002   0.0002   0.0002
 24.7999   0.0017   0.0002   0.0002   0.0002   0.0002   0.0001   0.0001   0.0002   0.0002   0.0002   0.0002
 24.8249   0.0017   0.0002   0.0002   0.0002   0.0002   0.0001   0.0001   0.0002   0.0002   0.0002   0.0002
 24.8499   0.0017   0.0002   0.0002   0.0002   0.0002   0.0001   0.0001   0.0002   0.0002   0.0002   0.0002
 24.8749   0.0017   0.0002   0.0002   0.0002   0.0002   0.0001   0.0001   0.0002   0.0002   0.0002   0.0002
 24.8999   0.0017   0.0002   0.0002   0.0002   0.0002   0.0001   0.0001   0.0002   0.0002   0.0002   0.0002
